年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,1205231,01,歷史研究導論(一)Introduction to Historical Research (I),朱振宏,"3
            3/0/0",3,必修,"四7,8,9",文學院212,0,碩博合開,link,碩博士新生必修
1,1205291,01,清代社會史專題研究（一）Seminar on the Social History of Ch’ing Dynasty,張秀蓉,"3
            3/0/0",3,選修,"三3,4,5",文學院211,0,碩博合開,link,
1,1205329,01,秦漢政治制度史專題研究Seminar on the Political Institutions of the Qin and the Han Dynasties,李昭毅,"3
            3/0/0",3,選修,"二7,8,9",文學院211,0,碩博合開,link,
1,1207029,01,「歷史理論」專題研究Seminar on Historical Theory,毛漢光,"3
            3/0/0",3,選修,"一8,9,10",文學院212,0,碩博合開,link,
1,1208031,01,戰後台灣文化史專題研究（一）Seminars    on the Cultural History of the Postwar Taiwan (I),張建俅,"3
            3/0/0",3,選修,"二10,11,12",文學院211,0,碩博合開,link,
1,1208359,01,東亞佛教史專題研究Seminar on History of Buddhism in East Asia,林韻柔,"3
            3/0/0",3,選修,"四10,11,12",文學院339,0,碩博合開,link,
1,1208369,01,文獻導讀與東南亞史Introduction to Literature of Southeast Asian History,耿慧玲,"3
            3/0/0",3,選修,"五3,4,5",文學院212,0,碩博合開,link,
1,1208379,01,中古時期政制專題Seminar on the Political Institutions of Medieval China,雷家驥,"3
            3/0/0",3,選修,"三10,11,12",文學院211,0,碩博合開,link,
1,1208469,01,20世紀的性別史:以中、美兩國為對照組History of Gender in the 20th Century: Positing China and America as “Self vs. the Other”,孫隆基,"3
            3/0/0",3,選修,"五3,4,5",文學院211,0,碩博合開,link,
1,1209651,01,台灣宗教史專題（一）Seminar on the History of Religion in Taiwan (I),蘇全正,"3
            3/0/0",3,選修,"三7,8,9",文學院212,0,碩博合開,link,",列入本土語言與文化實踐學分學程科目"
1,1209792,01,宋代荒政研究（二）Seminar on the Famine in Song Dynasty (II),楊宇勛,"3
            3/0/0",3,選修,"一8,9,10",文學院339,0,碩博合開,link,
