年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,2201001,01,普通物理實驗（一）Experiments on General Physics (I),門福國,"3
            0/3/0",1,必修,"一10,11 三5",物理館502TEAL教室,53,link,保留新生52人; 支援化暨生化系一年級.
1,2201001,02,普通物理實驗（一）Experiments on General Physics (I),李宗翰,"3
            0/3/0",1,必修,"一10,11 三5",物理館101,46,link,保留新生45人; 支援地環系一年級.
1,2201001,03,普通物理實驗（一）Experiments on General Physics (I),甘宏志,"3
            0/3/0",1,必修,"四9 五4,5",物理館502TEAL教室,44,link,保留新生44人; 支援化工系一年級A班.
1,2201001,04,普通物理實驗（一）Experiments on General Physics (I),姚欣佑,"3
            0/3/0",1,必修,"五1,2,3",物理館502TEAL教室,50,link,保留新生50人
1,2201001,05,普通物理實驗（一）Experiments on General Physics (I),林財鈺,"3
            0/3/0",1,必修,"五1,2,3",物理館101,50,link,保留新生50人
1,2201001,06,普通物理實驗（一）Experiments on General Physics (I),李宗翰,"3
            0/3/0",1,必修,"五3,4,5",物理館112,30,link,供重修生選課。
1,2201003,01,基礎物理（一）Fundamental of Physics (I),梁贊全,"4
            4/0/0",4,必修,"三10,11 五4,5",物理館211,25,link,保留新生25人本課程僅供物理系大一B組學生修課。
1,2201007,01,基礎物理演習（一）Recitation  on  Fundamental of Physics (I),梁贊全,"1
            1/0/0",1,選修,四8,物理館211,25,link,保留新生25人限本系生修.
1,2201008,01,基礎物理實驗學（一）A組Experiments on Fundamental Physics (I)A,段必輝,"4
            4/0/0",4,必修,"四7,8,9,10",物理館525,30,link,保留新生30人
1,2201009,01,基礎物理實驗學（一）B組Experiments on Fundamental Physics (I)B,姚松偉,"4
            4/0/0",4,必修,"二7,8,9,10",物理館525,30,link,保留新生30人
1,2201011,01,普通物理（一）General Physics (I),李宗翰,"3
            3/0/0",3,必修,"一4,5 三4",物理館206,95,link,保留新生95人; 支援地環系化暨生化系一年級.
1,2201011,02,普通物理（一）General Physics (I),張晃暐,"3
            3/0/0",3,必修,"二4,5 四4",理學院215演講廳,95,link,保留新生39人; 支援電機系一年級A班.
1,2201011,03,普通物理（一）General Physics (I),温秉彝,"3
            3/0/0",3,必修,"二4,5 四4",物理館206,95,link,保留新生39人; 支援電機系一年級B班.
1,2201011,04,普通物理（一）General Physics (I),陳偉家,"3
            3/0/0",3,必修,"二4,5 四4",物理館307,60,link,保留新生44人; 支援通訊系一年級.
1,2201011,05,普通物理（一）General Physics (I),甘宏志,"3
            3/0/0",3,必修,"二8,9 四8",物理館206,95,link,保留新生49人; 支援化工系一年級.
1,2201015,01,普通物理（一）AGeneral Physics (I)A(遠距教學/Distant learning),包健華,"1
            1/0/0",1,必修,五12,物理館107,55,link,先修科目(2201011)普通物理（一）(曾經修習) (2201021)普通物理（一）(曾經修習) (只要符合任一先修條件)
1,2201016,01,普通物理（一）BGeneral Physics (I)B(遠距教學/Distant learning),包健華,"1
            1/0/0",1,必修,五13,物理館107,55,link,先修科目(2201011)普通物理（一）(曾經修習) (2201021)普通物理（一）(曾經修習) (只要符合任一先修條件)
