年級,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,5101001,01,"經濟學原理（一）
Principle of Economics (I)",王瑜琳,"4

            3/1/0",3,必修,"一4,5 三4,5",管理學院107,125,link,"保留新生60人; 支援數學系經濟學系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
1,5101001,02,"經濟學原理（一）
Principle of Economics (I)",王瑜琳,"4

            3/1/0",3,必修,"二8,9 四8,9",管理學院106,80,link,"保留新生60人; 支援數學系經濟學系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
1,5101001,03,"經濟學原理（一）
Principle of Economics (I)",許毓珊,"4

            3/1/0",3,必修,"一4,5 三4,5",管理學院演講廳,200,link,"保留新生60人; 支援財金系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
1,5101001,04,"經濟學原理（一）
Principle of Economics (I)",孫佳宏,"4

            3/1/0",3,必修,"一8,9 三8,9",管理學院114,90,link,"保留新生60人; 支援企管系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
1,5101001,05,"經濟學原理（一）
Principle of Economics (I)",劉文獻,"4

            3/1/0",3,必修,"二4,5 四4,5",創新大樓164,60,link,"保留新生60人; 支援會資系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
1,5101001,06,"經濟學原理（一）
Principle of Economics (I)",崔曉倩,"4

            3/1/0",3,必修,"二8,9 四8,9",管理學院107,125,link,"保留新生60人; 支援資管系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
1,5101001,07,"經濟學原理（一）
Principle of Economics (I)
 (全英語授課/English-taught)",翁世芳,"4

            3/1/0",3,必修,"一4,5 三4,5",管理學院320,24,link,"保留新生20人; 支援數學系經濟學系一年級. ,列入數理經濟學程(1131起停辦)科目 ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入財務經濟學程科目 ,列入大數據經濟分析學分學程科目 ,列入國際菁英學分學程科目 ,列入精算經濟學分學程科目"
2,5102101,01,"個體經濟學（一）
Microeconomics (I)",孫佳宏,"4

            3/1/0",3,必修,"一4,5 三4,5",管理學院426會議室,70,link,"先修科目(5101001)經濟學原理（一）(曾經修習) (5101002)經濟學原理（二）(曾經修習) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入國際菁英學分學程科目"
2,5102101,02,"個體經濟學（一）
Microeconomics (I)
 (全英語授課/English-taught)",陳偉智,"4

            3/1/0",3,必修,"一4,5 三4,5",管理學院105,60,link,"先修科目(5101001)經濟學原理（一）(曾經修習) (5101002)經濟學原理（二）(曾經修習) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入國際菁英學分學程科目"
2,5102103,01,"個體經濟學
Microeconomics",孫佳宏,"3

            3/0/0",3,必修,"一10,11,12",管理學院120,60,link,"先修科目(5101001)經濟學原理（一）(曾經修習) (5101002)經濟學原理（二）(曾經修習) (所有先修條件都必須符合)支援財金系二年級. ,列入管理經濟學程科目 ,列入國際菁英學分學程科目"
2,5102110,01,"管理經濟學
Managerial Economics",郭芳彰,"3

            3/0/0",3,選修,"二7,8,9",管理學院426會議室,70,link,"先修科目(5101001)經濟學原理（一）(曾經修習) (5101002)經濟學原理（二）(曾經修習) (所有先修條件都必須符合) ,列入管理經濟學程科目"
2,5102201,01,"總體經濟學（一）
Macroeconomics (I)",王瑜琳,"4

            3/1/0",3,必修,"一2,3 三2,3",管理學院107,125,link,"先修科目(5101001)經濟學原理（一）(曾經修習) (5101002)經濟學原理（二）(曾經修習) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入國際菁英學分學程科目"
2,5102201,02,"總體經濟學（一）
Macroeconomics (I)
(遠距教學/Distant learning) (全英語授課/English-taught)",吳致謙,"4

            3/1/0",3,必修,"一10,11 三10,11",管理學院106,80,link,"先修科目(5101002)經濟學原理（二）(曾經修習) (5101001)經濟學原理（一）(曾經修習) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入國際政治經濟學程科目 ,列入國際菁英學分學程科目課程平臺網址:中正 eCourse2"
