領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,中國語文知識與應用,7101136,01,大學國文：現代文學College Chinese: Modern Literature,馬玉紅,"2
            2/0/0",2,通識,"二2,3",共同教室大樓201,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101136,02,大學國文：現代文學College Chinese: Modern Literature,馬玉紅,"2
            2/0/0",2,通識,"二10,11",共同教室大樓201,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101137,01,大學國文：現代小說及散文選讀College Chinese: Selected Readings of Modern classic Novels,陳伯謙,"2
            2/0/0",2,通識,"一2,3",共同教室大樓203,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101137,02,大學國文：現代小說及散文選讀College Chinese: Selected Readings of Modern classic Novels,陳伯謙,"2
            2/0/0",2,通識,"一10,11",共同教室大樓203,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101138,01,大學國文：先秦神話選讀College Chinese: Selected Readings in Myth of the Pre-Qin Dynasty,陳厚任,"2
            2/0/0",2,通識,"一2,3",共同教室大樓204,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101138,02,大學國文：先秦神話選讀College Chinese: Selected Readings in Myth of the Pre-Qin Dynasty,陳厚任,"2
            2/0/0",2,通識,"一10,11",共同教室大樓204,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101139,01,大學國文：紅樓夢College Chinese: The Story of the Stone,陳逸根,"2
            2/0/0",2,通識,"二2,3",共同教室大樓205,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101140,01,大學國文：敘事文學與人生College Chinese: Narrative Literature and Life,廖浿晴,"2
            2/0/0",2,通識,"四2,3",共同教室大樓201,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101140,02,大學國文：敘事文學與人生College Chinese: Narrative Literature and Life,廖浿晴,"2
            2/0/0",2,通識,"四10,11",共同教室大樓201,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101141,01,大學國文：易經College Chinese: I Ching,蔡翔任,"2
            2/0/0",2,通識,"三2,3",共同教室大樓206,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101142,01,大學國文：左傳College Chinese: Zuo Chuan,蔡翔任,"2
            2/0/0",2,通識,"四2,3",共同教室大樓206,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101142,02,大學國文：左傳College Chinese: Zuo Chuan,蔡翔任,"2
            2/0/0",2,通識,"四10,11",共同教室大樓206,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101143,01,大學國文：古典戲曲之認識與欣賞College Chinese: Know and appreciate in Chinese Traditional Opera,盧柏勳,"2
            2/0/0",2,通識,"三10,11",文學院103,50,link,"保留新生48人. ,列入「戲劇‧創意‧想像」學分學程科目第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。"
1,中國語文知識與應用,7101144,01,大學國文：日治時期台灣通俗小說College Chinese: Popular novels during the Japanese occupation,梁鈞筌,"2
            2/0/0",2,通識,"一2,3",共同教室大樓201,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101144,02,大學國文：日治時期台灣通俗小說College Chinese: Popular novels during the Japanese occupation,梁鈞筌,"2
            2/0/0",2,通識,"一10,11",共同教室大樓201,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101146,01,大學國文：語文創作與文創行銷College Chinese: Language Creation and Cultural Creation Marketing,葉書珊,"2
            2/0/0",2,通識,"五2,3",共同教室大樓202,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101150,01,大學國文：漢字文化與上古文明College Chinese: Chinese Character Culture and Ancient Civilization,陳厚任,"2
            2/0/0",2,通識,"二10,11",共同教室大樓204,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101151,01,大學國文：動漫倫理學College Chinese:  The Ethics of Animation,陳逸根,"2
            2/0/0",2,通識,"一2,3",共同教室大樓205,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101152,01,大學國文：佛教文學與生命書寫College Chinese:  Buddhist Literature and Life Writing,鍾媄媜,"2
            2/0/0",2,通識,"二10,11",共同教室大樓208,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101152,02,大學國文：佛教文學與生命書寫College Chinese:  Buddhist Literature and Life Writing,鍾媄媜,"2
            2/0/0",2,通識,"四2,3",共同教室大樓208,50,link,保留新生48人.第一階段限大一學生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101155,01,大學國文：嘉義書寫與文化創意College Chinese: Writing and Cultural Innovation in Chayi,江寶釵 金儒農,"2
            2/0/0",2,通識,"四10,11",文學院103,50,link,"保留新生48人. ,列入原住民族文化資產與創意應用學分學程科目第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。"
